# Data from the low resolution GMT shoreline, borders, and rivers database
> Shore Bin # 1, Level 1
-80	80.7774471656
-79.4705119402	80.8476386664
-79.0263218128	81.0869001297
-79.4419775692	81.1978332189
-78.6102082856	81.1216906996
-78.2751201648	81.2883192187
-76.8416876478	81.4528114748
-78.4286259251	81.1606012055
-78.9678797589	80.8789196612
-76.4525825895	80.8746471351
-78.1899748226	80.8026245518
-79.9932860304	80.6129549096
-78.0834668498	80.5612268254
-80	80.5311665522
> Shore Bin # 28, Level 1
-70.6309605554	80
-70.4556343938	80.0904859998
-72.2783245594	80.0587472343
-71.8306248569	80.1062027924
-72.3636224918	80.2175936522
-71.6195925841	80.1037613489
-70.109407187	80.1879911498
-70	80.2258335241
> Shore Bin # 28, Level 1
